lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume
sub-12	2291.0	1412.0	5399.0	2304.0	2555.0	7612.0	11012.0	8325.0	1761.0	10530.0	7006.0	4771.0	4379.0	9491.0	1900.0	4056.0	4066.0	2093.0	3983.0	1694.0	8219.0	2396.0	11894.0	7313.0	2294.0	12185.0	22716.0	11154.0	11111.0	8984.0	1023.0	2309.0	913.0	6221.0
sub-13	1913.0	1255.0	5436.0	2868.0	1606.0	8393.0	10682.0	9677.0	2939.0	9564.0	6592.0	5027.0	4768.0	10944.0	1871.0	3352.0	5009.0	1788.0	3778.0	1392.0	9050.0	2752.0	12124.0	9664.0	2043.0	12043.0	21737.0	13672.0	11903.0	11370.0	859.0	1953.0	1325.0	7612.0
sub-14	2160.0	2385.0	7008.0	2906.0	1745.0	11192.0	10494.0	10066.0	2585.0	15305.0	8101.0	6351.0	6072.0	11343.0	2491.0	3572.0	4657.0	2623.0	4386.0	2113.0	9634.0	2851.0	12411.0	10747.0	2736.0	16828.0	22152.0	11386.0	14804.0	9907.0	1049.0	2285.0	1191.0	7554.0
sub-15	1647.0	931.0	5970.0	2808.0	1637.0	9530.0	10717.0	8373.0	2718.0	11823.0	6300.0	6681.0	4836.0	8922.0	1754.0	3245.0	3839.0	2042.0	3066.0	2071.0	7669.0	2590.0	12425.0	9118.0	1600.0	12110.0	19851.0	11451.0	10423.0	10004.0	995.0	2343.0	904.0	5869.0
sub-16	3077.0	1634.0	7959.0	3336.0	1698.0	11173.0	11280.0	12897.0	3725.0	15472.0	9359.0	8057.0	5037.0	14757.0	2044.0	3869.0	7411.0	2957.0	5534.0	2478.0	12315.0	3331.0	16210.0	12775.0	3117.0	18732.0	31066.0	15145.0	15362.0	13834.0	1197.0	2096.0	1632.0	8082.0
sub-17	2456.0	1694.0	5972.0	2501.0	1223.0	8652.0	10278.0	9199.0	2707.0	10646.0	6823.0	4983.0	4036.0	10143.0	2056.0	3750.0	5273.0	1872.0	3245.0	1572.0	9265.0	3097.0	13550.0	9128.0	2862.0	15779.0	21735.0	11435.0	12882.0	10574.0	829.0	2243.0	1453.0	7384.0
sub-18	2242.0	1929.0	5466.0	3351.0	1503.0	8119.0	10737.0	9003.0	2524.0	11988.0	7585.0	7643.0	4583.0	11529.0	2358.0	3482.0	3669.0	2558.0	3515.0	2113.0	8852.0	2659.0	12257.0	9544.0	2806.0	12405.0	20949.0	11337.0	12969.0	8998.0	872.0	1924.0	1060.0	6346.0
sub-19	2345.0	2157.0	7387.0	3432.0	2712.0	10244.0	10885.0	11500.0	2707.0	14544.0	8707.0	6586.0	4998.0	12239.0	2183.0	4805.0	4973.0	3076.0	4333.0	2175.0	10938.0	4032.0	13683.0	10114.0	2396.0	16901.0	23159.0	14278.0	13907.0	12325.0	1208.0	2806.0	1666.0	8240.0
sub-21	4197.0	2347.0	5532.0	2369.0	1539.0	9907.0	13339.0	9825.0	2648.0	9597.0	7987.0	6372.0	6324.0	12070.0	2071.0	3920.0	3855.0	2833.0	2610.0	1603.0	8864.0	3440.0	13421.0	8498.0	2849.0	15609.0	24828.0	12812.0	15676.0	14104.0	909.0	2549.0	1173.0	7108.0
sub-22	2074.0	1708.0	4883.0	2844.0	1865.0	8104.0	9562.0	7199.0	2431.0	12295.0	7544.0	5319.0	4559.0	11500.0	1935.0	3421.0	5687.0	1880.0	4271.0	1366.0	9836.0	2583.0	13161.0	10191.0	1836.0	10994.0	19637.0	12496.0	11136.0	10145.0	1193.0	2043.0	1343.0	6916.0
sub-23	1660.0	1592.0	4963.0	3093.0	1982.0	8480.0	11242.0	8940.0	2244.0	12135.0	7489.0	6153.0	4390.0	8760.0	1943.0	4050.0	5127.0	1946.0	3770.0	1662.0	8233.0	2989.0	13002.0	8249.0	3091.0	12982.0	21703.0	13090.0	10176.0	9520.0	824.0	2617.0	1286.0	6560.0
sub-24	2146.0	2272.0	4971.0	2371.0	1608.0	9162.0	10887.0	9797.0	2457.0	11383.0	7865.0	6176.0	4119.0	9753.0	1594.0	4233.0	5205.0	2290.0	4072.0	2006.0	8154.0	2504.0	13156.0	8232.0	1820.0	14783.0	22165.0	11473.0	11255.0	10000.0	959.0	1767.0	1124.0	6065.0
sub-25	1757.0	1554.0	5881.0	3200.0	1698.0	7771.0	9222.0	10273.0	2451.0	11711.0	7977.0	6177.0	3899.0	9713.0	2050.0	3168.0	4388.0	2268.0	3588.0	1965.0	11171.0	2515.0	13684.0	8792.0	2002.0	12173.0	21103.0	11964.0	10673.0	8574.0	920.0	2712.0	1272.0	6706.0
sub-26	2573.0	1389.0	6731.0	2852.0	1946.0	9266.0	11159.0	10199.0	2511.0	12214.0	8270.0	5870.0	5320.0	11390.0	1939.0	4128.0	4483.0	2503.0	4131.0	1732.0	11257.0	3161.0	14728.0	9750.0	2140.0	14588.0	24444.0	14184.0	13845.0	12273.0	895.0	2114.0	1688.0	7890.0
sub-27	2291.0	1729.0	5926.0	2670.0	1901.0	9162.0	9466.0	12509.0	2546.0	9328.0	7826.0	6086.0	4574.0	11068.0	2147.0	3745.0	4854.0	2131.0	3676.0	1702.0	9415.0	3263.0	12021.0	10174.0	2921.0	14588.0	22851.0	12727.0	12489.0	14161.0	1058.0	2407.0	1326.0	7432.0
sub-28	2430.0	1277.0	6829.0	2657.0	1521.0	7212.0	8297.0	7992.0	3157.0	8980.0	6649.0	6244.0	4084.0	10420.0	1846.0	3451.0	5013.0	1977.0	3969.0	1815.0	10265.0	2870.0	12825.0	9624.0	1827.0	10960.0	20640.0	10938.0	14258.0	14806.0	926.0	2431.0	1228.0	6620.0
sub-29	2804.0	1254.0	7300.0	3057.0	1950.0	9858.0	11502.0	9243.0	2946.0	12458.0	7232.0	6304.0	5262.0	12537.0	2256.0	3576.0	4820.0	1815.0	3807.0	1690.0	8186.0	3169.0	14224.0	10134.0	2529.0	12329.0	21967.0	12588.0	11861.0	11786.0	927.0	2046.0	1093.0	7023.0
sub-30	2115.0	960.0	5861.0	3313.0	1420.0	8343.0	9762.0	9345.0	2187.0	12606.0	6876.0	6540.0	4401.0	10282.0	1933.0	3372.0	4016.0	2214.0	3624.0	2388.0	8323.0	2849.0	12720.0	9286.0	1111.0	13929.0	20432.0	12142.0	12578.0	11700.0	1038.0	2165.0	1312.0	6909.0
sub-31	2185.0	1171.0	5488.0	2445.0	1094.0	7544.0	10805.0	8595.0	1820.0	9571.0	6443.0	5807.0	4581.0	9351.0	2174.0	2879.0	4193.0	2170.0	3158.0	1383.0	9558.0	2678.0	13603.0	7463.0	2106.0	11198.0	21049.0	12816.0	10368.0	11136.0	1021.0	2522.0	1000.0	7512.0
sub-32	2740.0	1936.0	6612.0	3984.0	1668.0	10933.0	15917.0	10546.0	3186.0	13725.0	8784.0	6313.0	5584.0	12267.0	1788.0	4713.0	5464.0	2585.0	4654.0	1938.0	11031.0	3928.0	17244.0	11719.0	3510.0	16435.0	25788.0	16532.0	14511.0	13539.0	964.0	2857.0	2178.0	7927.0
sub-33	1915.0	1830.0	6929.0	3861.0	1501.0	8276.0	9138.0	9438.0	2814.0	11365.0	8346.0	7192.0	4794.0	9464.0	2352.0	4105.0	4590.0	2219.0	4100.0	2510.0	10066.0	3284.0	14016.0	9255.0	2179.0	13774.0	24147.0	13473.0	13554.0	15519.0	994.0	2345.0	1768.0	7055.0
