rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area
sub-12	660.0	892.0	947.0	1010.0	833.0	1905.0	770.0	892.0	282.0	175.0	1486.0	799.0	277.0	576.0	2162.0	4226.0	282.0	330.0	1456.0	942.0	1230.0	1779.0	994.0	1649.0	1969.0	1674.0	1744.0	1154.0	1699.0	1494.0	652.0	296.0	236.0	1040.0	509.0	642.0	1643.0	1623.0	257.0	154.0	913.0	2225.0	1074.0	1597.0	1850.0	781.0	363.0	584.0	915.0	947.0	240.0	1032.0	1175.0	1390.0	285.0	2453.0	693.0	880.0	616.0	838.0	1088.0	260.0	478.0	831.0	1275.0	617.0	1458.0	1057.0	749.0	223.0	640.0	858.0	3876.0	172.0	77772.8
sub-13	565.0	801.0	737.0	1090.0	892.0	1951.0	892.0	898.0	346.0	160.0	1630.0	968.0	255.0	820.0	2045.0	4611.0	409.0	477.0	1383.0	849.0	1343.0	1579.0	733.0	1625.0	2248.0	1655.0	1966.0	1277.0	1663.0	1955.0	563.0	268.0	235.0	1250.0	528.0	656.0	2076.0	2521.0	301.0	208.0	892.0	2361.0	1234.0	1283.0	1542.0	895.0	360.0	658.0	999.0	654.0	336.0	1184.0	1110.0	1396.0	216.0	2994.0	427.0	739.0	680.0	991.0	1498.0	443.0	442.0	729.0	1665.0	990.0	1678.0	960.0	1002.0	257.0	734.0	795.0	4395.0	202.0	83170.8
sub-14	708.0	989.0	706.0	1088.0	811.0	2417.0	917.0	931.0	406.0	224.0	1716.0	859.0	248.0	851.0	3025.0	4900.0	531.0	464.0	1565.0	1218.0	1252.0	2190.0	1010.0	1829.0	2049.0	1860.0	1724.0	1458.0	1692.0	1843.0	635.0	296.0	328.0	1427.0	715.0	601.0	1869.0	2235.0	274.0	265.0	992.0	2706.0	1387.0	1967.0	1962.0	811.0	479.0	847.0	934.0	867.0	470.0	1369.0	2165.0	1751.0	236.0	2130.0	726.0	832.0	398.0	1074.0	1368.0	368.0	586.0	893.0	1565.0	971.0	1715.0	987.0	1040.0	355.0	1057.0	1084.0	4666.0	383.0	91265.9
sub-15	731.0	890.0	927.0	1180.0	762.0	2319.0	1083.0	1107.0	211.0	151.0	1860.0	1018.0	260.0	676.0	2608.0	4617.0	341.0	407.0	1712.0	1189.0	1085.0	2035.0	652.0	1737.0	1342.0	998.0	864.0	918.0	1927.0	1183.0	552.0	274.0	184.0	1013.0	540.0	511.0	1658.0	1671.0	214.0	281.0	868.0	2725.0	1314.0	1940.0	1678.0	731.0	301.0	651.0	864.0	679.0	321.0	1386.0	1454.0	2176.0	75.0	1386.0	873.0	852.0	546.0	503.0	1283.0	274.0	461.0	625.0	1600.0	785.0	844.0	1469.0	916.0	198.0	507.0	944.0	3411.0	172.0	78498.8
sub-16	676.0	1139.0	1107.0	1227.0	1035.0	2396.0	1218.0	1178.0	389.0	349.0	2064.0	1624.0	394.0	1150.0	3600.0	5294.0	387.0	473.0	1811.0	1528.0	1811.0	2625.0	786.0	2137.0	2741.0	1865.0	1866.0	1283.0	1861.0	2079.0	586.0	414.0	378.0	1542.0	778.0	835.0	2309.0	2854.0	378.0	325.0	1147.0	2773.0	1318.0	2476.0	2048.0	920.0	402.0	804.0	1140.0	851.0	363.0	2303.0	1897.0	2369.0	309.0	2870.0	738.0	1188.0	668.0	1027.0	1809.0	401.0	444.0	1076.0	2560.0	1152.0	1709.0	1507.0	1188.0	339.0	1158.0	1215.0	4869.0	201.0	105736.0
sub-17	757.0	875.0	858.0	1074.0	865.0	1865.0	811.0	927.0	332.0	173.0	1670.0	1113.0	288.0	842.0	2758.0	4706.0	419.0	521.0	1263.0	1137.0	1154.0	1893.0	684.0	1742.0	2001.0	1833.0	1699.0	1411.0	1606.0	1462.0	603.0	343.0	257.0	1356.0	554.0	621.0	1552.0	2572.0	313.0	106.0	939.0	2242.0	1181.0	1689.0	1931.0	969.0	324.0	822.0	1036.0	611.0	327.0	1544.0	1496.0	1690.0	204.0	1986.0	386.0	742.0	604.0	544.0	1616.0	229.0	351.0	827.0	1556.0	844.0	1732.0	928.0	935.0	235.0	675.0	1033.0	4242.0	225.0	83710.0
sub-18	634.0	958.0	888.0	798.0	799.0	1721.0	849.0	933.0	410.0	220.0	1682.0	788.0	315.0	658.0	2289.0	4119.0	347.0	401.0	1150.0	966.0	1248.0	1997.0	638.0	1793.0	1726.0	1394.0	1670.0	1185.0	1392.0	1333.0	587.0	279.0	226.0	1178.0	544.0	455.0	1476.0	1735.0	252.0	206.0	801.0	2685.0	1329.0	1693.0	1827.0	766.0	364.0	660.0	812.0	675.0	232.0	1241.0	1195.0	1518.0	102.0	1927.0	608.0	853.0	546.0	568.0	1362.0	421.0	466.0	816.0	1360.0	780.0	1188.0	1051.0	685.0	195.0	521.0	752.0	4078.0	178.0	76492.8
sub-19	687.0	1062.0	1088.0	1221.0	1029.0	2336.0	785.0	993.0	452.0	234.0	1745.0	963.0	434.0	647.0	3090.0	4704.0	356.0	519.0	1940.0	1451.0	1404.0	2415.0	749.0	1890.0	1780.0	1672.0	1984.0	1611.0	1824.0	1928.0	626.0	327.0	334.0	1389.0	679.0	580.0	2043.0	2211.0	257.0	154.0	1033.0	2924.0	1398.0	2078.0	1927.0	1018.0	536.0	707.0	1055.0	896.0	336.0	1581.0	1812.0	2637.0	299.0	2797.0	847.0	998.0	639.0	915.0	1408.0	404.0	519.0	994.0	1691.0	926.0	2100.0	1074.0	1103.0	252.0	874.0	1127.0	4304.0	252.0	95051.6
sub-21	926.0	898.0	936.0	965.0	856.0	2391.0	1162.0	1045.0	280.0	190.0	1261.0	636.0	291.0	391.0	2812.0	4042.0	413.0	365.0	1687.0	920.0	1527.0	2394.0	755.0	2009.0	2105.0	2201.0	1621.0	1323.0	1522.0	1530.0	721.0	296.0	216.0	1282.0	777.0	571.0	1834.0	1941.0	199.0	121.0	895.0	1959.0	1336.0	1415.0	1869.0	780.0	402.0	757.0	850.0	710.0	372.0	1327.0	1664.0	1408.0	444.0	2542.0	467.0	942.0	620.0	881.0	1599.0	402.0	499.0	858.0	1299.0	550.0	1719.0	925.0	687.0	191.0	794.0	1021.0	4677.0	157.0	84431.7
sub-22	621.0	1185.0	772.0	976.0	609.0	1513.0	846.0	800.0	308.0	177.0	1544.0	815.0	211.0	651.0	2008.0	4270.0	319.0	442.0	1230.0	1175.0	1175.0	1722.0	493.0	1503.0	1470.0	1592.0	1590.0	1352.0	1532.0	1387.0	470.0	316.0	240.0	1004.0	622.0	483.0	1524.0	1697.0	195.0	189.0	1012.0	2454.0	1217.0	1486.0	1855.0	701.0	338.0	635.0	892.0	707.0	356.0	954.0	804.0	1365.0	188.0	2106.0	500.0	735.0	609.0	574.0	1136.0	244.0	442.0	736.0	1736.0	913.0	1598.0	928.0	953.0	173.0	1055.0	955.0	3553.0	157.0	75099.1
sub-23	724.0	906.0	856.0	928.0	840.0	1605.0	890.0	966.0	260.0	184.0	1455.0	870.0	230.0	547.0	2691.0	4275.0	303.0	421.0	1539.0	1134.0	1215.0	1770.0	708.0	1640.0	1945.0	1450.0	2022.0	1141.0	1417.0	1462.0	655.0	223.0	250.0	1050.0	516.0	466.0	1418.0	1677.0	204.0	196.0	905.0	2216.0	1391.0	1451.0	1551.0	821.0	447.0	758.0	818.0	786.0	278.0	1059.0	1509.0	1742.0	290.0	2758.0	669.0	901.0	552.0	613.0	1276.0	232.0	308.0	771.0	1560.0	736.0	1669.0	1148.0	984.0	149.0	583.0	692.0	3592.0	198.0	78462.5
sub-24	748.0	979.0	844.0	756.0	836.0	1779.0	1088.0	886.0	286.0	181.0	1453.0	830.0	255.0	609.0	2227.0	4395.0	356.0	418.0	1413.0	1082.0	975.0	2279.0	550.0	1685.0	1695.0	1524.0	1558.0	1200.0	1837.0	1426.0	479.0	400.0	199.0	1064.0	538.0	479.0	1639.0	1930.0	259.0	289.0	766.0	2472.0	1250.0	1728.0	2019.0	695.0	320.0	658.0	799.0	847.0	442.0	1008.0	1233.0	1721.0	243.0	2158.0	692.0	825.0	468.0	454.0	1256.0	272.0	387.0	763.0	1428.0	843.0	1430.0	1116.0	1317.0	228.0	544.0	1015.0	3677.0	143.0	78644.0
sub-25	606.0	985.0	980.0	1017.0	884.0	1823.0	975.0	1015.0	272.0	220.0	1682.0	1027.0	278.0	746.0	2021.0	4026.0	332.0	475.0	1510.0	1003.0	1066.0	1807.0	681.0	1632.0	1743.0	1391.0	1754.0	1100.0	1613.0	1462.0	586.0	235.0	252.0	1062.0	522.0	485.0	2024.0	1654.0	323.0	141.0	877.0	2447.0	1250.0	1853.0	2059.0	839.0	373.0	745.0	888.0	780.0	405.0	1195.0	1388.0	1938.0	157.0	2266.0	705.0	808.0	585.0	625.0	1533.0	236.0	365.0	766.0	1322.0	1052.0	1364.0	1252.0	816.0	231.0	632.0	879.0	3168.0	192.0	79402.7
sub-26	834.0	913.0	1106.0	1310.0	967.0	1940.0	1200.0	1049.0	433.0	217.0	1733.0	1020.0	368.0	477.0	2801.0	5193.0	414.0	549.0	1636.0	1354.0	1306.0	2005.0	661.0	2045.0	1978.0	2052.0	1545.0	1510.0	1745.0	1601.0	662.0	457.0	376.0	1268.0	504.0	555.0	1762.0	2113.0	267.0	126.0	1123.0	2662.0	1345.0	1411.0	1964.0	948.0	545.0	873.0	1039.0	633.0	244.0	1499.0	1699.0	1703.0	426.0	2522.0	636.0	1223.0	522.0	724.0	1573.0	273.0	516.0	835.0	1384.0	975.0	2040.0	1080.0	1220.0	294.0	992.0	955.0	4173.0	274.0	90374.5
sub-27	689.0	1092.0	995.0	949.0	872.0	2215.0	868.0	1005.0	317.0	171.0	1463.0	995.0	261.0	854.0	2624.0	4916.0	462.0	465.0	2009.0	961.0	1281.0	2219.0	687.0	1751.0	1940.0	1953.0	1834.0	1494.0	1906.0	2208.0	500.0	363.0	271.0	1334.0	617.0	703.0	2052.0	1968.0	208.0	317.0	1025.0	2449.0	1400.0	1496.0	2071.0	909.0	497.0	773.0	993.0	807.0	424.0	1539.0	1431.0	1472.0	154.0	2301.0	885.0	880.0	576.0	919.0	1609.0	237.0	386.0	795.0	1442.0	751.0	1737.0	1201.0	1110.0	227.0	1181.0	1112.0	4311.0	203.0	89092.4
sub-28	752.0	763.0	798.0	946.0	967.0	1541.0	715.0	761.0	465.0	177.0	1567.0	841.0	231.0	532.0	2377.0	3849.0	284.0	372.0	1024.0	989.0	1251.0	1913.0	894.0	1586.0	1787.0	1522.0	1585.0	1458.0	1473.0	1745.0	531.0	341.0	260.0	1143.0	627.0	454.0	1550.0	1862.0	229.0	127.0	1005.0	2615.0	1511.0	1421.0	1790.0	714.0	398.0	759.0	886.0	787.0	231.0	1111.0	1170.0	1536.0	305.0	2044.0	444.0	840.0	503.0	735.0	1178.0	220.0	644.0	685.0	1339.0	804.0	1627.0	1016.0	849.0	213.0	866.0	679.0	3700.0	150.0	77067.0
sub-29	583.0	871.0	892.0	1118.0	812.0	2058.0	873.0	812.0	348.0	174.0	1511.0	908.0	229.0	700.0	2298.0	4736.0	499.0	513.0	1617.0	1198.0	1373.0	1856.0	710.0	1633.0	2203.0	1669.0	1539.0	1163.0	1572.0	1671.0	612.0	297.0	290.0	1326.0	608.0	581.0	1538.0	2046.0	291.0	167.0	854.0	2223.0	1307.0	1426.0	1814.0	883.0	339.0	734.0	903.0	625.0	482.0	1317.0	1521.0	1787.0	441.0	2472.0	711.0	974.0	599.0	518.0	1660.0	314.0	451.0	729.0	1616.0	910.0	1643.0	1316.0	816.0	264.0	1179.0	925.0	4867.0	183.0	84698.8
sub-30	649.0	963.0	955.0	1102.0	709.0	1532.0	848.0	944.0	404.0	207.0	1769.0	1081.0	303.0	735.0	2204.0	4351.0	452.0	518.0	1541.0	1044.0	1410.0	2012.0	716.0	1654.0	1513.0	1612.0	1447.0	1087.0	1640.0	1756.0	437.0	256.0	321.0	1116.0	554.0	468.0	1435.0	1732.0	311.0	266.0	965.0	2512.0	1312.0	1725.0	1777.0	769.0	375.0	692.0	1058.0	694.0	295.0	1148.0	1118.0	1363.0	182.0	2243.0	612.0	757.0	646.0	775.0	1331.0	279.0	282.0	715.0	1513.0	883.0	1181.0	1453.0	877.0	244.0	761.0	828.0	3806.0	149.0	79372.7
sub-31	670.0	730.0	858.0	721.0	1006.0	1380.0	796.0	807.0	344.0	174.0	1173.0	702.0	205.0	507.0	1751.0	4267.0	350.0	394.0	1544.0	886.0	1019.0	1610.0	866.0	1936.0	1829.0	1887.0	1665.0	1491.0	1730.0	1611.0	578.0	244.0	243.0	1072.0	457.0	584.0	1289.0	1874.0	209.0	177.0	1251.0	2265.0	1416.0	1088.0	1831.0	686.0	373.0	857.0	743.0	526.0	322.0	796.0	705.0	1534.0	303.0	2199.0	591.0	768.0	322.0	520.0	1448.0	226.0	418.0	546.0	1091.0	877.0	1460.0	830.0	955.0	275.0	824.0	843.0	3696.0	139.0	74361.7
sub-32	614.0	1018.0	891.0	1342.0	825.0	2248.0	1079.0	1051.0	426.0	208.0	1911.0	1050.0	291.0	837.0	2707.0	4279.0	362.0	516.0	2188.0	1451.0	1365.0	1833.0	663.0	2002.0	2167.0	2479.0	1515.0	1586.0	1868.0	1871.0	629.0	430.0	363.0	1515.0	716.0	768.0	1867.0	2481.0	289.0	215.0	1193.0	2368.0	1389.0	1913.0	2218.0	703.0	354.0	770.0	1130.0	726.0	457.0	1532.0	1593.0	1526.0	430.0	2474.0	706.0	1058.0	841.0	856.0	1468.0	372.0	500.0	849.0	2011.0	1208.0	2320.0	1111.0	858.0	319.0	1220.0	1044.0	5004.0	317.0	94756.5
sub-33	911.0	865.0	1038.0	1273.0	940.0	2089.0	1068.0	921.0	309.0	293.0	1988.0	1026.0	359.0	824.0	3026.0	4507.0	371.0	428.0	1761.0	1227.0	1429.0	2527.0	851.0	2286.0	2217.0	1757.0	1560.0	1579.0	1757.0	1650.0	621.0	541.0	282.0	1203.0	556.0	577.0	1694.0	2088.0	389.0	279.0	950.0	2486.0	1498.0	2216.0	2031.0	832.0	411.0	793.0	1130.0	846.0	443.0	1710.0	1722.0	1875.0	130.0	2552.0	590.0	1122.0	490.0	769.0	1586.0	469.0	540.0	1146.0	1639.0	1001.0	1820.0	1090.0	921.0	204.0	582.0	773.0	4814.0	227.0	92472.1
