lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area
sub-12	961.0	417.0	1849.0	1302.0	565.0	2655.0	4266.0	2824.0	730.0	4880.0	2397.0	2699.0	1598.0	2861.0	576.0	1457.0	1437.0	663.0	1397.0	1333.0	3647.0	874.0	4218.0	3041.0	708.0	4896.0	7079.0	4853.0	3457.0	3227.0	300.0	529.0	428.0	1987.0	76108.0
sub-13	852.0	500.0	1938.0	1562.0	419.0	3012.0	4581.0	3343.0	1184.0	4668.0	2308.0	2473.0	1682.0	3253.0	668.0	1078.0	1599.0	604.0	1389.0	985.0	4069.0	1130.0	4522.0	3868.0	623.0	5009.0	7184.0	5790.0	3923.0	4592.0	326.0	547.0	547.0	2278.0	82510.1
sub-14	980.0	892.0	2636.0	1523.0	487.0	3711.0	4252.0	3280.0	1010.0	6748.0	2732.0	3325.0	2132.0	3471.0	706.0	1464.0	1592.0	730.0	1573.0	1434.0	4143.0	1169.0	4751.0	4185.0	864.0	6733.0	7900.0	4874.0	4620.0	3809.0	333.0	556.0	527.0	2146.0	91290.3
sub-15	700.0	432.0	2083.0	1464.0	410.0	3167.0	4271.0	2789.0	1000.0	5453.0	2062.0	3292.0	1647.0	2671.0	545.0	1164.0	1335.0	576.0	1166.0	1453.0	3829.0	993.0	4480.0	3756.0	541.0	4864.0	6489.0	4992.0	3419.0	3897.0	294.0	519.0	465.0	1793.0	78013.9
sub-16	1220.0	688.0	2706.0	1983.0	290.0	3876.0	4147.0	4136.0	1411.0	6736.0	3253.0	4171.0	1997.0	4074.0	722.0	1458.0	2449.0	958.0	2044.0	1697.0	5003.0	1356.0	5709.0	5133.0	1094.0	7425.0	9980.0	5950.0	4816.0	4812.0	360.0	488.0	612.0	2360.0	105116.0
sub-17	1071.0	601.0	2158.0	1640.0	312.0	3189.0	4277.0	3311.0	1045.0	5206.0	2451.0	2747.0	1621.0	3272.0	694.0	1255.0	1876.0	620.0	1300.0	1332.0	3695.0	1184.0	4319.0	3600.0	947.0	6071.0	7510.0	4951.0	4370.0	3773.0	305.0	539.0	551.0	2546.0	84339.1
sub-18	859.0	594.0	1972.0	1578.0	369.0	2595.0	3689.0	2837.0	1026.0	5280.0	2498.0	3368.0	1633.0	3026.0	628.0	1119.0	1253.0	718.0	1260.0	1566.0	3629.0	972.0	3909.0	3467.0	757.0	4899.0	6495.0	4200.0	3701.0	2911.0	261.0	513.0	429.0	1897.0	75906.2
sub-19	989.0	721.0	2619.0	2020.0	567.0	3400.0	4373.0	3648.0	1009.0	6530.0	3042.0	3430.0	1887.0	3507.0	699.0	1802.0	1624.0	924.0	1602.0	1650.0	4722.0	1453.0	4696.0	4076.0	773.0	7077.0	7588.0	6168.0	4211.0	4482.0	331.0	496.0	517.0	2504.0	95136.8
sub-21	1661.0	804.0	2021.0	1269.0	409.0	3066.0	5120.0	3144.0	916.0	4280.0	2744.0	2832.0	2275.0	3342.0	675.0	1396.0	1186.0	823.0	1007.0	1032.0	3781.0	1307.0	4286.0	3323.0	945.0	5585.0	7768.0	5515.0	4525.0	5078.0	293.0	512.0	405.0	2263.0	85589.1
sub-22	840.0	507.0	1761.0	1457.0	383.0	2871.0	3582.0	2527.0	1002.0	5155.0	2339.0	2634.0	1679.0	3008.0	506.0	1163.0	1827.0	599.0	1476.0	1028.0	4105.0	960.0	4388.0	3624.0	610.0	4293.0	6428.0	4957.0	3568.0	3426.0	312.0	450.0	487.0	2033.0	75986.9
sub-23	725.0	567.0	1856.0	1631.0	447.0	2811.0	4166.0	3227.0	849.0	5282.0	2477.0	2962.0	1676.0	2608.0	525.0	1532.0	1742.0	610.0	1341.0	1212.0	3667.0	1146.0	4441.0	3276.0	886.0	4944.0	6898.0	5392.0	3248.0	3342.0	304.0	526.0	471.0	2106.0	78893.8
sub-24	919.0	830.0	1683.0	1272.0	390.0	2929.0	4212.0	3341.0	949.0	5241.0	2760.0	2860.0	1755.0	3132.0	534.0	1291.0	1579.0	676.0	1452.0	1240.0	3316.0	1057.0	4329.0	3177.0	693.0	5779.0	7563.0	4615.0	3556.0	3519.0	298.0	434.0	444.0	1902.0	79728.5
sub-25	723.0	563.0	2148.0	1798.0	348.0	2663.0	3461.0	3181.0	860.0	5168.0	2632.0	3227.0	1587.0	2615.0	562.0	1214.0	1488.0	674.0	1328.0	1585.0	4283.0	997.0	4602.0	3185.0	685.0	5221.0	7127.0	5028.0	3304.0	3024.0	280.0	541.0	445.0	2025.0	78573.7
sub-26	1113.0	539.0	2473.0	1551.0	407.0	3119.0	4137.0	3538.0	1091.0	5292.0	2661.0	2832.0	1913.0	3496.0	678.0	1450.0	1589.0	802.0	1572.0	1270.0	4749.0	1282.0	5081.0	3819.0	765.0	6422.0	8661.0	5908.0	4387.0	4526.0	304.0	573.0	582.0	2507.0	91090.2
sub-27	1022.0	592.0	2169.0	1608.0	452.0	3353.0	3807.0	4119.0	946.0	4876.0	2623.0	3187.0	1717.0	3592.0	636.0	1533.0	1692.0	681.0	1251.0	1395.0	4376.0	1334.0	4411.0	4254.0	892.0	5953.0	7759.0	5894.0	4094.0	4976.0	300.0	546.0	608.0	2247.0	88894.1
sub-28	908.0	442.0	2400.0	1476.0	442.0	2479.0	3164.0	2454.0	1207.0	4301.0	2154.0	3089.0	1600.0	2843.0	581.0	1183.0	1583.0	682.0	1360.0	1173.0	3994.0	1108.0	4165.0	3802.0	535.0	4330.0	6413.0	4621.0	4600.0	5053.0	322.0	609.0	435.0	1960.0	77468.5
sub-29	1131.0	487.0	2511.0	1624.0	396.0	3009.0	4585.0	3229.0	1136.0	5666.0	2415.0	3089.0	1872.0	3436.0	659.0	1201.0	1697.0	614.0	1331.0	1191.0	3577.0	1198.0	4593.0	4031.0	785.0	4957.0	7297.0	5248.0	3860.0	4193.0	287.0	471.0	458.0	2065.0	84297.7
sub-30	838.0	421.0	2162.0	1638.0	320.0	2732.0	3612.0	2893.0	764.0	5445.0	2052.0	3108.0	1693.0	2792.0	558.0	1208.0	1438.0	670.0	1445.0	1526.0	3730.0	1000.0	4555.0	3662.0	428.0	5653.0	6969.0	4958.0	3772.0	4312.0	296.0	477.0	527.0	2274.0	79929.9
sub-31	890.0	517.0	2109.0	1228.0	302.0	2616.0	4504.0	3039.0	849.0	4313.0	2193.0	2768.0	1516.0	2974.0	750.0	1183.0	1464.0	684.0	1219.0	897.0	4235.0	1070.0	4795.0	3192.0	574.0	4403.0	6317.0	5561.0	3602.0	3950.0	392.0	508.0	423.0	2163.0	77199.3
sub-32	1147.0	738.0	2129.0	1948.0	413.0	3735.0	5939.0	3373.0	1229.0	6062.0	2808.0	3049.0	1802.0	3417.0	626.0	1662.0	1753.0	659.0	1463.0	1319.0	4551.0	1483.0	5441.0	4167.0	1013.0	5945.0	7993.0	6238.0	4225.0	4471.0	289.0	589.0	769.0	2521.0	94967.4
sub-33	877.0	616.0	2554.0	2091.0	400.0	3059.0	3877.0	2992.0	1159.0	5022.0	2968.0	3640.0	1957.0	3038.0	639.0	1462.0	1660.0	750.0	1616.0	1741.0	4540.0	1246.0	5007.0	3859.0	849.0	5967.0	8327.0	6118.0	4353.0	6162.0	297.0	587.0	650.0	2217.0	92298.7
