lh.aparc.a2009s.volume	lh_G_and_S_frontomargin_volume	lh_G_and_S_occipital_inf_volume	lh_G_and_S_paracentral_volume	lh_G_and_S_subcentral_volume	lh_G_and_S_transv_frontopol_volume	lh_G_and_S_cingul-Ant_volume	lh_G_and_S_cingul-Mid-Ant_volume	lh_G_and_S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg_and_S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet_and_P_trans_volume	lh_S_oc_middle_and_Lunatus_volume	lh_S_oc_sup_and_transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med_and_Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume
sub-12	2022.0	2316.0	3097.0	2793.0	1617.0	4118.0	2111.0	1970.0	1100.0	395.0	2335.0	2693.0	899.0	3194.0	8406.0	17094.0	1490.0	1992.0	4754.0	1952.0	3543.0	3259.0	3977.0	5314.0	4805.0	5153.0	5115.0	3435.0	5594.0	4368.0	2263.0	878.0	685.0	5203.0	1894.0	1804.0	5138.0	5982.0	394.0	434.0	1336.0	2686.0	4275.0	2263.0	3221.0	1578.0	747.0	1830.0	2247.0	1551.0	470.0	2678.0	1810.0	4939.0	274.0	3539.0	1354.0	1423.0	804.0	1018.0	2476.0	416.0	785.0	2357.0	2266.0	609.0	3557.0	1653.0	1825.0	857.0	1055.0	2159.0	9251.0	477.0
sub-13	2076.0	2390.0	2805.0	3279.0	1366.0	4000.0	2127.0	2082.0	1665.0	582.0	2734.0	3780.0	825.0	2495.0	7971.0	16965.0	1606.0	2627.0	3674.0	2648.0	4232.0	3646.0	2738.0	4955.0	5505.0	6429.0	6048.0	4094.0	5601.0	6186.0	2092.0	884.0	1035.0	5181.0	1904.0	1841.0	5975.0	7067.0	391.0	569.0	1628.0	2162.0	4210.0	1921.0	2987.0	1200.0	725.0	2227.0	2855.0	1306.0	547.0	3192.0	1419.0	4575.0	243.0	4667.0	938.0	1719.0	1078.0	1651.0	2995.0	384.0	822.0	1981.0	2816.0	1161.0	3768.0	1783.0	2025.0	965.0	1529.0	2581.0	8294.0	533.0
sub-14	2374.0	4820.0	2604.0	2788.0	1747.0	4569.0	2883.0	2720.0	1286.0	784.0	2723.0	3631.0	943.0	3083.0	11224.0	16723.0	1725.0	2548.0	5418.0	2484.0	4827.0	4055.0	4032.0	6762.0	4364.0	6878.0	4883.0	4022.0	5334.0	6452.0	2549.0	1295.0	1257.0	7242.0	2358.0	1453.0	6166.0	7108.0	379.0	589.0	1339.0	3351.0	5163.0	3043.0	3622.0	1545.0	964.0	2769.0	2313.0	1978.0	826.0	4026.0	2567.0	4906.0	468.0	3203.0	1513.0	1326.0	1445.0	1380.0	4512.0	727.0	965.0	2580.0	3307.0	1621.0	3705.0	2459.0	1663.0	1109.0	1622.0	2012.0	9454.0	522.0
sub-15	2036.0	3562.0	2677.0	2685.0	1577.0	3170.0	1650.0	2085.0	1530.0	635.0	2434.0	3157.0	1063.0	1991.0	7508.0	15254.0	1281.0	1938.0	4979.0	2271.0	3939.0	4562.0	3284.0	5076.0	4981.0	6326.0	5131.0	2828.0	5543.0	5784.0	2419.0	512.0	691.0	4483.0	1845.0	1662.0	4981.0	5739.0	383.0	422.0	1251.0	2316.0	4955.0	3447.0	2945.0	1238.0	672.0	1945.0	2238.0	1509.0	607.0	2280.0	2896.0	4088.0	469.0	3598.0	1498.0	1362.0	668.0	1453.0	3727.0	372.0	879.0	1683.0	2923.0	1029.0	3223.0	2850.0	1749.0	1431.0	1021.0	1951.0	7531.0	381.0
sub-16	2216.0	4604.0	2657.0	4262.0	2122.0	5603.0	2739.0	2861.0	1913.0	965.0	3184.0	5388.0	1869.0	3956.0	13402.0	23644.0	1559.0	2733.0	5455.0	2814.0	5123.0	5732.0	3043.0	6804.0	5602.0	7724.0	7079.0	4792.0	7553.0	7315.0	2011.0	1338.0	1523.0	6430.0	3058.0	2932.0	8438.0	9807.0	663.0	596.0	1834.0	3368.0	5292.0	4686.0	4052.0	1291.0	1185.0	2930.0	3011.0	2112.0	933.0	4320.0	2550.0	6029.0	490.0	3750.0	2092.0	1351.0	1462.0	1931.0	3444.0	634.0	928.0	2924.0	4019.0	1530.0	5260.0	3216.0	2514.0	1329.0	2006.0	3057.0	10994.0	618.0
sub-17	2389.0	2897.0	2998.0	3063.0	1656.0	4708.0	2445.0	2350.0	1477.0	739.0	2338.0	4151.0	665.0	2478.0	9980.0	16467.0	1675.0	2079.0	4397.0	2200.0	4794.0	3184.0	2388.0	5249.0	4865.0	6500.0	4614.0	3805.0	6070.0	5973.0	1991.0	1010.0	1265.0	5753.0	2058.0	2179.0	5526.0	6142.0	299.0	353.0	1593.0	2534.0	4669.0	2319.0	3508.0	1332.0	652.0	2155.0	2675.0	1131.0	679.0	3814.0	2154.0	4297.0	309.0	3864.0	983.0	1427.0	1362.0	1483.0	2976.0	521.0	882.0	2223.0	2744.0	1545.0	3525.0	2417.0	1863.0	952.0	1238.0	2145.0	9546.0	609.0
sub-18	2060.0	2800.0	2923.0	2958.0	1671.0	4634.0	2178.0	2078.0	1447.0	599.0	3119.0	2720.0	1324.0	2443.0	8088.0	15625.0	1348.0	2186.0	4458.0	2711.0	3782.0	5562.0	3187.0	5825.0	4833.0	5111.0	4728.0	3713.0	5610.0	6120.0	1974.0	934.0	961.0	6062.0	1652.0	1875.0	5063.0	7655.0	371.0	424.0	1495.0	2645.0	4510.0	3235.0	3523.0	1341.0	787.0	2216.0	2274.0	1399.0	602.0	2619.0	1744.0	4862.0	420.0	3285.0	1561.0	1562.0	1458.0	1177.0	3170.0	558.0	950.0	2489.0	2865.0	1095.0	3227.0	2470.0	1361.0	1178.0	1319.0	2312.0	9971.0	380.0
sub-19	2058.0	3190.0	3646.0	3483.0	1997.0	4057.0	2779.0	3211.0	1684.0	791.0	3145.0	3638.0	1600.0	3102.0	12537.0	17848.0	1664.0	2703.0	5173.0	2862.0	4849.0	4459.0	4476.0	6855.0	5508.0	7032.0	6910.0	4678.0	5927.0	5962.0	1732.0	1381.0	1361.0	6329.0	2449.0	1930.0	6695.0	8400.0	534.0	511.0	1784.0	3741.0	6128.0	3236.0	3715.0	1997.0	1122.0	2506.0	2594.0	2204.0	587.0	3735.0	1938.0	5762.0	606.0	4228.0	2051.0	1592.0	912.0	1438.0	3296.0	528.0	934.0	3011.0	3061.0	1152.0	4817.0	3047.0	1631.0	1148.0	1433.0	2380.0	9438.0	742.0
sub-21	2100.0	2598.0	2911.0	3110.0	1636.0	5041.0	3324.0	2611.0	1777.0	594.0	2249.0	2678.0	1089.0	1803.0	9562.0	18866.0	1775.0	2077.0	3640.0	1855.0	4318.0	4878.0	3315.0	6496.0	7388.0	7613.0	6061.0	3545.0	6178.0	5145.0	2286.0	1451.0	907.0	6833.0	2606.0	2776.0	6157.0	7924.0	382.0	485.0	1262.0	2249.0	4982.0	2217.0	3687.0	1320.0	713.0	2473.0	2508.0	1711.0	649.0	2551.0	2693.0	6375.0	1033.0	5165.0	765.0	1684.0	728.0	1684.0	3101.0	500.0	1113.0	2734.0	2386.0	1445.0	4589.0	1891.0	1809.0	1134.0	1698.0	2343.0	13032.0	522.0
sub-22	1862.0	3652.0	2876.0	3789.0	1637.0	3626.0	2111.0	1942.0	1327.0	353.0	2769.0	3433.0	1060.0	3230.0	7116.0	15427.0	1379.0	2167.0	4363.0	2022.0	4281.0	3963.0	2983.0	5804.0	4295.0	6349.0	5624.0	3723.0	5516.0	6235.0	2079.0	780.0	1094.0	4565.0	2478.0	1673.0	4144.0	7911.0	497.0	615.0	1585.0	3027.0	4832.0	2152.0	3543.0	1253.0	802.0	2149.0	3030.0	1240.0	609.0	2636.0	1750.0	3595.0	439.0	3521.0	1458.0	1072.0	796.0	700.0	2711.0	601.0	988.0	1984.0	3344.0	1054.0	4048.0	2463.0	2087.0	1388.0	1641.0	2088.0	8268.0	356.0
sub-23	1975.0	3637.0	3186.0	2867.0	1451.0	4658.0	2155.0	2544.0	1231.0	681.0	2940.0	3798.0	944.0	3136.0	8290.0	16885.0	1249.0	2297.0	4771.0	2076.0	3461.0	4195.0	3719.0	5879.0	5299.0	5368.0	6707.0	3253.0	5933.0	4999.0	1947.0	855.0	1116.0	4508.0	2123.0	1504.0	5239.0	6022.0	356.0	469.0	1195.0	2608.0	5203.0	2324.0	3045.0	1429.0	888.0	2059.0	2397.0	1647.0	691.0	3231.0	1651.0	4101.0	418.0	3827.0	1277.0	1635.0	1072.0	1471.0	3004.0	418.0	745.0	2254.0	3060.0	1376.0	3889.0	2338.0	2014.0	926.0	838.0	1830.0	6867.0	487.0
sub-24	2054.0	3011.0	3481.0	2445.0	1458.0	3922.0	2593.0	2357.0	1200.0	652.0	2383.0	3377.0	1183.0	3150.0	9336.0	16885.0	1345.0	1927.0	4291.0	1839.0	4880.0	4662.0	2308.0	5763.0	5377.0	5261.0	5248.0	3662.0	6108.0	5175.0	1642.0	855.0	982.0	5274.0	1646.0	1833.0	5752.0	6905.0	458.0	484.0	1552.0	2691.0	4486.0	2633.0	3437.0	1392.0	940.0	2154.0	2305.0	1848.0	513.0	3367.0	2402.0	4564.0	512.0	3620.0	1475.0	1615.0	796.0	1573.0	2833.0	535.0	935.0	2429.0	2177.0	1126.0	3441.0	2109.0	2388.0	709.0	1323.0	2111.0	8244.0	420.0
sub-25	1924.0	2953.0	2907.0	3036.0	1341.0	3722.0	2322.0	2114.0	1273.0	740.0	2942.0	3490.0	1235.0	2339.0	8869.0	15800.0	1543.0	2202.0	4993.0	2804.0	3243.0	4415.0	3204.0	5635.0	4444.0	5190.0	5007.0	4982.0	6173.0	5497.0	1657.0	674.0	1163.0	4796.0	1995.0	1659.0	6943.0	6246.0	418.0	506.0	1369.0	2409.0	5366.0	2905.0	4439.0	1212.0	723.0	2135.0	2419.0	1689.0	560.0	2821.0	1571.0	4299.0	268.0	3269.0	1297.0	1907.0	843.0	1126.0	2964.0	492.0	891.0	2756.0	2621.0	1027.0	3834.0	2137.0	1860.0	948.0	1458.0	1947.0	6514.0	498.0
sub-26	2078.0	3532.0	3691.0	4023.0	1556.0	4442.0	2319.0	2328.0	1629.0	519.0	2837.0	3488.0	1155.0	2945.0	10329.0	19181.0	1731.0	2587.0	4570.0	2723.0	4594.0	4328.0	2962.0	6240.0	5521.0	7392.0	5644.0	4423.0	6371.0	5840.0	2138.0	1197.0	1357.0	5220.0	2623.0	2364.0	6659.0	7546.0	418.0	533.0	2057.0	2646.0	4250.0	2574.0	3365.0	1450.0	872.0	2483.0	3133.0	1760.0	625.0	3024.0	2279.0	4527.0	480.0	3920.0	1284.0	1703.0	846.0	1389.0	3220.0	750.0	1072.0	2306.0	2978.0	1089.0	5592.0	2697.0	2509.0	1302.0	1423.0	2458.0	9808.0	661.0
sub-27	2271.0	2442.0	2758.0	3312.0	1742.0	4350.0	2585.0	2508.0	1658.0	648.0	2526.0	3348.0	974.0	2875.0	9760.0	17711.0	1662.0	2416.0	3208.0	1886.0	4036.0	4653.0	3174.0	6100.0	4861.0	8475.0	5870.0	3877.0	5487.0	6087.0	1658.0	1228.0	1119.0	5924.0	1938.0	1803.0	8028.0	7652.0	308.0	606.0	1611.0	2465.0	4945.0	2440.0	3571.0	1827.0	857.0	2509.0	2680.0	1912.0	573.0	2937.0	2170.0	4368.0	523.0	3814.0	683.0	1138.0	1419.0	1607.0	3051.0	539.0	906.0	2430.0	2883.0	1256.0	4528.0	2143.0	1632.0	1296.0	1570.0	2661.0	9119.0	584.0
sub-28	1889.0	2446.0	3047.0	3265.0	1192.0	3873.0	1975.0	2141.0	1807.0	649.0	2443.0	3570.0	1101.0	3122.0	8834.0	15328.0	1608.0	2056.0	2845.0	1894.0	3629.0	4429.0	2731.0	5130.0	4670.0	8812.0	5371.0	4698.0	6104.0	6067.0	1732.0	865.0	1037.0	6274.0	1799.0	2555.0	4805.0	7456.0	436.0	417.0	2255.0	2608.0	4990.0	2466.0	3265.0	1298.0	866.0	2030.0	2040.0	1446.0	519.0	3088.0	1245.0	4374.0	633.0	3389.0	1003.0	877.0	527.0	835.0	2706.0	507.0	799.0	1708.0	2353.0	1080.0	3942.0	2735.0	1892.0	861.0	2000.0	1792.0	9271.0	540.0
sub-29	2097.0	3535.0	2780.0	2933.0	1496.0	4430.0	1837.0	2557.0	1725.0	673.0	2937.0	3221.0	932.0	2820.0	8733.0	16998.0	1280.0	2411.0	4822.0	2482.0	4948.0	4356.0	3207.0	5490.0	5581.0	7069.0	5683.0	3391.0	6687.0	6391.0	2382.0	1279.0	977.0	5428.0	1958.0	1881.0	4984.0	8756.0	542.0	426.0	1386.0	2452.0	4805.0	2489.0	3554.0	1547.0	932.0	2276.0	2519.0	1823.0	778.0	2988.0	2219.0	4794.0	548.0	4066.0	1229.0	1665.0	1105.0	1193.0	3878.0	310.0	1159.0	2017.0	2627.0	1089.0	3193.0	2684.0	2177.0	881.0	1922.0	2763.0	9824.0	527.0
sub-30	1940.0	3349.0	2714.0	3009.0	1618.0	3437.0	1745.0	2277.0	1386.0	654.0	3064.0	3200.0	1366.0	2373.0	9240.0	15924.0	1524.0	2182.0	4569.0	2230.0	3971.0	4735.0	3237.0	5917.0	4502.0	7322.0	6070.0	3155.0	5491.0	5747.0	1634.0	704.0	1241.0	5912.0	1830.0	1784.0	5875.0	6950.0	439.0	563.0	1578.0	2919.0	4728.0	3050.0	3971.0	1447.0	803.0	2067.0	2737.0	1487.0	710.0	2901.0	1960.0	4511.0	406.0	4559.0	1665.0	1503.0	779.0	1452.0	2800.0	313.0	768.0	1724.0	2622.0	699.0	3010.0	2090.0	1688.0	674.0	1121.0	1610.0	8234.0	588.0
sub-31	1568.0	2593.0	2633.0	2700.0	1506.0	4321.0	1921.0	2118.0	1070.0	504.0	2356.0	3200.0	887.0	1908.0	7930.0	15407.0	1734.0	2392.0	3220.0	1748.0	3250.0	4722.0	2552.0	5195.0	5585.0	5836.0	6187.0	4760.0	6022.0	5167.0	2067.0	978.0	807.0	4571.0	1522.0	1776.0	5421.0	6535.0	416.0	408.0	1581.0	2727.0	4751.0	1587.0	4206.0	1277.0	841.0	2336.0	2475.0	1513.0	518.0	3133.0	1896.0	3878.0	440.0	4389.0	1089.0	1624.0	767.0	801.0	2946.0	348.0	780.0	1767.0	1889.0	904.0	3823.0	2536.0	1665.0	819.0	1224.0	2031.0	8329.0	500.0
sub-32	2232.0	4342.0	3585.0	4095.0	1902.0	5219.0	2633.0	2955.0	1983.0	698.0	4059.0	4053.0	1282.0	3473.0	11857.0	20787.0	1576.0	2322.0	5381.0	2966.0	5556.0	4554.0	2697.0	6365.0	7851.0	7887.0	7106.0	4226.0	7314.0	6680.0	2575.0	1265.0	1915.0	5796.0	2649.0	2331.0	6291.0	9098.0	676.0	808.0	1981.0	3442.0	6013.0	2958.0	4048.0	1811.0	1092.0	2537.0	3057.0	1934.0	516.0	3334.0	2185.0	4718.0	587.0	4792.0	1324.0	2404.0	1192.0	1593.0	3363.0	386.0	1040.0	2772.0	3949.0	1744.0	5058.0	2734.0	3125.0	1137.0	1674.0	2257.0	10673.0	1031.0
sub-33	1930.0	2781.0	3191.0	3679.0	1720.0	4152.0	2234.0	2691.0	1434.0	863.0	3336.0	3152.0	947.0	3106.0	9825.0	18226.0	1327.0	2367.0	3938.0	3235.0	3804.0	4964.0	3621.0	6169.0	5678.0	9242.0	5362.0	4138.0	6558.0	5122.0	2320.0	947.0	1520.0	6043.0	2071.0	2144.0	5413.0	6693.0	434.0	621.0	1859.0	2930.0	4903.0	3980.0	3708.0	1596.0	751.0	2605.0	2866.0	1551.0	482.0	2688.0	1895.0	5976.0	781.0	4860.0	1020.0	1352.0	638.0	1262.0	3227.0	505.0	1153.0	2770.0	3717.0	1167.0	4565.0	2196.0	2218.0	962.0	963.0	1584.0	7803.0	636.0
